,close
532,9.1
533,9.06
534,9.01
535,8.89
536,8.95
537,8.93
538,9.02
539,9.01
540,9.07
541,9.11
542,9.32
543,9.23
544,9.39
545,9.39
546,9.54
547,9.41
548,9.48
549,9.44
550,9.47
551,9.45
552,9.36
553,9.25
554,9.3
555,9.42
556,9.21
557,9.16
558,9.25
559,9.25
560,9.26
561,9.25
562,9.24
563,9.29
564,9.19
565,9.17
566,9.16
567,9.21
568,9.16
569,9.14
570,9.0
571,8.89
572,8.97
573,8.86
574,8.84
575,8.82
576,8.98
577,9.18
578,8.31
579,8.25
580,8.11
581,8.06
582,8.1
583,8.24
584,8.25
585,8.1
586,8.06
587,8.0
588,8.03
589,7.89
590,7.57
591,7.23
592,7.21
593,6.97
594,6.96
595,7.2
596,6.97
597,7.08
598,6.74
599,6.49
600,5.9
601,6.26
602,5.9
603,5.34
604,5.63
605,5.01
606,5.01
607,4.5
608,4.47
609,4.33
610,4.01
611,4.95
612,5.39
613,5.25
614,5.19
615,5.03
616,4.83
617,4.4
618,4.36
619,4.24
620,4.53
621,4.71
622,5.03
623,5.37
624,5.16
625,5.29
626,5.03
627,4.94
628,5.12
629,4.98
630,4.77
631,4.77
632,4.89
633,4.87
634,5.17
635,5.38
636,5.26
637,5.09
638,4.92
639,4.86
640,4.97
641,4.87
642,4.87
643,5.24
644,5.12
645,4.98
646,4.72
647,4.89
648,4.9
649,5.31
650,5.3
651,5.49
652,5.63
653,5.65
654,5.84
655,6.03
656,5.85
657,5.71
658,5.87
659,5.9
660,6.19
661,6.57
662,7.34
663,7.53
664,7.24
665,6.81
666,6.13
667,6.46
668,6.5
669,6.55
670,6.33
671,6.33
672,6.23
673,6.28
674,6.15
675,5.95
676,6.03
677,5.91
678,6.01
679,6.08
680,5.98
681,6.05
682,6.19
683,6.12
684,6.09
685,5.84
686,6.1
687,6.06
688,6.36
689,6.74
690,6.86
691,6.8
692,6.66
693,6.68
694,6.84
695,6.98
696,6.88
697,6.93
698,7.01
699,6.92
700,6.74
701,6.61
702,6.69
703,6.86
704,6.96
705,6.93
706,6.86
707,7.09
708,7.23
709,7.11
710,7.03
711,7.04
712,6.98
713,6.89
714,6.87
715,6.84
716,6.66
717,6.98
718,6.94
719,6.82
720,6.91
721,6.94
722,6.82
723,6.83
724,6.95
725,6.82
726,6.9
727,7.03
728,6.97
729,6.91
730,7.0
731,7.12
732,7.04
733,7.02
734,7.28
735,7.23
736,6.87
737,6.78
738,6.64
739,6.66
740,6.51
741,6.69
742,6.6
743,6.66
744,6.75
745,6.89
746,7.02
747,6.98
748,7.23
749,7.35
750,7.25
751,7.67
752,7.76
753,7.57
754,7.62
755,7.67
756,7.59
757,7.74
758,7.85
759,8.21
760,8.16
761,8.03
762,7.92
763,7.7
764,7.9
765,7.73
766,7.71
767,7.88
768,7.64
769,7.99
770,7.79
771,8.2
772,8.38
773,8.33
774,8.21
775,8.54
776,8.8
777,8.75
778,8.82
779,8.82
780,8.74
781,8.86
782,9.45
783,9.08
784,9.09
785,9.08
786,9.24
787,9.2
788,9.21
789,9.34
790,9.22
791,9.25
792,9.45
793,9.12
794,9.02
795,8.91
796,9.15
797,9.04
798,9.08
799,8.95
800,8.93
801,8.79
802,8.99
803,8.86
804,8.89
805,8.82
806,8.86
807,8.79
808,8.52
809,8.65
810,8.84
811,9.06
812,9.0
813,9.3
814,9.78
815,9.78
816,10.17
817,9.83
818,10.02
819,10.86
820,11.53
821,11.52
822,11.29
823,11.19
824,10.79
825,10.72
826,10.53
827,10.83
828,10.86
829,11.2
830,11.37
831,11.51
832,11.56
833,11.93
834,11.76
835,11.45
836,11.45
837,11.54
838,11.48
839,11.43
840,11.58
841,11.7
842,11.62
843,12.27
844,11.76
845,11.7
846,11.98
847,12.55
848,12.17
849,11.93
850,12.27
851,12.65
852,12.57
853,12.91
854,12.81
855,13.37
856,13.2
857,12.49
858,12.69
859,12.49
860,12.83
861,12.85
862,12.21
863,12.14
864,12.32
865,12.3
866,12.15
867,12.46
868,12.25
869,12.17
870,12.7
871,12.92
872,12.73
873,12.51
874,12.51
875,12.38
876,12.2
877,12.24
878,12.24
879,12.23
880,12.11
881,11.45
882,11.73
883,11.94
884,12.22
885,12.27
886,12.49
887,12.43
888,11.26
889,11.54
890,11.63
891,11.41
892,11.61
893,11.74
894,11.82
895,11.71
896,11.58
897,11.33
898,11.55
899,11.84
900,12.15
901,12.14
902,12.11
903,12.49
904,13.33
905,13.06
906,12.81
907,13.9
908,14.88
909,14.53
910,14.81
911,14.91
912,15.99
913,15.97
914,15.88
915,15.63
916,15.48
917,15.11
918,15.28
919,14.87
920,15.0
921,15.02
922,14.77
923,14.52
924,14.78
925,14.91
926,15.42
927,15.26
928,15.19
929,14.96
930,15.01
931,14.86
932,14.91
933,14.93
934,14.5
935,14.23
936,14.06
937,14.48
938,14.61
939,14.42
940,14.25
941,14.01
942,13.61
943,13.28
944,13.91
945,14.19
946,13.91
947,13.82
948,14.03
949,13.79
950,13.86
951,14.39
952,13.95
953,13.91
954,14.02
955,13.32
956,13.71
957,13.8
958,13.75
959,13.82
960,13.93
961,13.9
962,13.59
963,13.46
964,12.99
965,13.0
966,12.67
967,12.57
968,12.73
969,13.08
970,13.17
971,12.9
972,13.31
973,13.05
974,13.03
975,13.11
976,13.01
977,12.89
978,12.95
979,13.03
980,12.76
981,12.68
982,12.99
983,12.86
984,13.22
985,13.4
986,13.55
987,12.82
988,12.77
989,13.23
990,13.71
991,13.78
992,14.16
993,14.31
994,14.3
995,14.16
996,14.16
997,14.35
998,14.29
999,14.12
