,close
0,69.65
1,71.99
2,70.19
3,70.84
4,70.22
5,69.49
6,72.07
7,73.16
8,72.61
9,73.13
10,72.01
11,74.01
12,75.1
13,73.92
14,74.07
15,76.81
16,78.22
17,76.86
18,75.93
19,74.22
20,73.38
21,71.68
22,71.05
23,71.37
24,71.61
25,69.76
26,68.04
27,70.08
28,66.29
29,65.97
30,67.46
31,65.09
32,65.48
33,66.27
34,66.53
35,64.56
36,65.77
37,66.52
38,65.85
39,67.22
40,65.88
41,66.56
42,68.28
43,68.69
44,67.68
45,66.3
46,66.23
47,65.34
48,64.82
49,66.34
50,65.79
51,66.35
52,67.8
53,68.39
54,66.82
55,69.84
56,70.37
57,69.61
58,71.31
59,72.9
60,71.7
61,71.7
62,70.17
63,70.33
64,71.66
65,71.99
66,71.45
67,71.35
68,71.74
69,70.8
70,71.46
71,70.64
72,70.69
73,70.91
74,73.03
75,72.79
76,72.77
77,74.79
78,73.95
79,74.29
80,75.0
81,75.94
82,76.67
83,77.72
84,77.41
85,77.87
86,77.24
87,76.84
88,76.05
89,75.98
90,74.7
91,75.27
92,73.42
93,76.01
94,76.32
95,77.28
96,75.88
97,76.19
98,77.19
99,76.84
100,76.19
101,78.61
102,81.42
103,81.5
104,80.23
105,80.95
106,81.27
107,80.61
108,79.65
109,79.75
110,78.41
111,79.45
112,77.65
113,75.36
114,72.75
115,73.42
116,73.08
117,74.06
118,71.32
119,70.57
120,70.23
121,70.01
122,70.5
123,70.61
124,70.52
125,71.29
126,69.31
127,69.69
128,69.15
129,68.93
130,69.66
131,71.43
132,71.17
133,74.09
134,74.09
135,74.0
136,74.91
137,74.1
138,72.1
139,72.98
140,71.65
141,71.96
142,73.57
143,74.26
144,79.5
145,80.52
146,80.43
147,81.27
148,78.88
149,79.63
150,79.58
151,80.65
152,80.29
153,80.6
154,80.53
155,81.57
156,82.87
157,83.19
158,83.25
159,83.39
160,83.02
161,80.36
162,79.59
163,77.63
164,77.64
165,73.58
166,73.85
167,77.92
168,75.67
169,78.73
170,78.3
171,71.81
172,69.75
173,69.78
174,68.98
175,67.25
176,70.32
177,68.84
178,65.22
179,67.48
180,69.05
181,69.32
182,68.99
183,64.34
184,64.25
185,65.09
186,62.79
187,55.01
188,53.89
189,52.55
190,51.6
191,53.56
192,50.94
193,49.14
194,49.26
195,50.85
196,50.05
197,50.91
198,50.75
199,51.02
200,52.56
201,49.88
202,46.6
203,46.52
204,48.15
205,47.23
206,47.88
207,48.2
208,48.45
209,48.51
210,47.75
211,47.08
212,47.32
213,46.33
214,47.05
215,45.85
216,43.99
217,46.42
218,47.04
219,46.8
220,46.57
221,47.03
222,45.36
223,47.17
224,48.5
225,49.97
226,50.83
227,51.35
228,46.54
229,47.29
230,46.84
231,47.13
232,47.38
233,48.65
234,47.06
235,46.02
236,47.27
237,47.8
238,46.74
239,45.73
240,46.31
241,47.24
242,46.01
243,46.78
244,47.84
245,43.0
246,43.96
247,43.41
248,40.11
249,41.67
250,44.57
251,45.43
252,44.6
253,44.48
254,42.78
255,41.9
256,41.5
257,41.96
258,42.08
259,41.79
260,42.14
261,42.84
262,41.79
263,41.88
264,42.56
265,41.42
266,42.03
267,42.92
268,42.63
269,43.7
270,43.32
271,44.63
272,44.97
273,46.42
274,46.16
275,48.6
276,46.87
277,46.98
278,46.43
279,45.52
280,45.62
281,45.53
282,47.12
283,47.46
284,47.65
285,46.96
286,47.29
287,47.57
288,47.01
289,47.86
290,47.17
291,47.28
292,45.75
293,45.06
294,44.98
295,45.31
296,45.34
297,46.51
298,46.75
299,47.41
300,48.15
301,48.4
302,48.21
303,48.56
304,49.55
305,47.15
306,48.16
307,46.68
308,46.82
309,46.64
310,46.02
311,43.41
312,44.7
313,46.28
314,47.29
315,46.39
316,43.61
317,43.45
318,42.91
319,42.19
320,42.29
321,43.5
322,43.99
323,43.56
324,43.37
325,42.38
326,43.61
327,44.52
328,44.08
329,45.38
330,46.01
331,46.7
332,45.09
333,46.05
334,45.62
335,45.07
336,45.77
337,45.33
338,45.67
339,45.91
340,47.15
341,46.2
342,46.73
343,47.28
344,47.2
345,47.5
346,47.98
347,48.66
348,48.15
349,46.47
350,46.37
351,46.84
